,cantidad,promedio_aplicaciones,promedio_gaming,promedio_movilidad
Intel,83,513.63 / 1000,199.31 / 1000,597.02 / 1000
AMD,42,525.19 / 1000,214.12 / 1000,520.0 / 1000
